"COUNTRY","Country","VAR","Variable","POPULATION","Population","TIME","Time","Value","Flag Codes","Flags"
"ESP","Spain","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2009","2009",8.4399996,"D","Difference in methodology"
"ESP","Spain","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2012","2012",8.5900002,"D","Difference in methodology"
"ESP","Spain","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2009","2009",10.43,"D","Difference in methodology"
"ESP","Spain","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2012","2012",10.41,"D","Difference in methodology"
"ESP","Spain","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",14.86978,,
"ESP","Spain","ST1","Share of top 1% of wealth","TP","Total Population","2012","2012",16.324175,,
"ESP","Spain","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",43.412403,,
"ESP","Spain","ST10","Share of top 10% of wealth","TP","Total Population","2012","2012",45.577541,,
"ESP","Spain","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",30.898333,,
"ESP","Spain","ST5","Share of top 5% of wealth","TP","Total Population","2012","2012",33.258755,,
"EST","Estonia","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2013","2013",29411,,
"EST","Estonia","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2013","2013",8618,,
"EST","Estonia","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",96994,,
"EST","Estonia","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",43115.121,,
"EST","Estonia","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",2.2310805,,
"EST","Estonia","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2013","2013",15.299999,,
"EST","Estonia","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2013","2013",38.299999,,
"EST","Estonia","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",43474,,
"EST","Estonia","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2013","2013",5.5979028,,
"EST","Estonia","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",12.7863,,
"EST","Estonia","PIH","Share of indebted households","TP","Total Population","2013","2013",36.805355,,
"EST","Estonia","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2013","2013",3.7687743,,
"EST","Estonia","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2013","2013",55.479996,"D","Difference in methodology"
"EST","Estonia","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2013","2013",65.709999,"D","Difference in methodology"
"EST","Estonia","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2013","2013",10.14,"D","Difference in methodology"
"EST","Estonia","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2013","2013",12.2,"D","Difference in methodology"
"EST","Estonia","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",21.2271,,
"EST","Estonia","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",55.71339,,
"EST","Estonia","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",43.189041,,
"FIN","Finland","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2009","2009",38405,,
"FIN","Finland","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2013","2013",51573,,
"FIN","Finland","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2009","2009",36351,,
"FIN","Finland","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2013","2013",43458,,
"FIN","Finland","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",168842,,
"FIN","Finland","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",195328,,
"FIN","Finland","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",81081.43,,
"FIN","Finland","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",95374.484,,
"FIN","Finland","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",1.7493861,,
"FIN","Finland","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",1.775709,,
"FIN","Finland","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2009","2009",32.799999,,
"FIN","Finland","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2013","2013",35.299999,,
"FIN","Finland","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2009","2009",64.300003,,
"FIN","Finland","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2013","2013",76.700005,,
"FIN","Finland","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",96515,,
"FIN","Finland","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",110000,,
"FIN","Finland","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2009","2009",14.160577,,
"FIN","Finland","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2013","2013",13.595468,,
"FIN","Finland","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",13.706056,,
"FIN","Finland","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",13.552249,,
"FIN","Finland","PIH","Share of indebted households","TP","Total Population","2009","2009",59.81892,,
"FIN","Finland","PIH","Share of indebted households","TP","Total Population","2013","2013",57.3964,,
"FIN","Finland","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2009","2009",5.4063597,,
"FIN","Finland","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2013","2013",5.4483147,,
"FIN","Finland","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2009","2009",40.400002,,
"FIN","Finland","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2013","2013",41.650002,,
"FIN","Finland","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2009","2009",55.169998,,
"FIN","Finland","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2013","2013",55.110001,,
"FIN","Finland","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2009","2009",15.77,,
"FIN","Finland","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2013","2013",16.859999,,
"FIN","Finland","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2009","2009",19.310001,,
"FIN","Finland","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2013","2013",19.689999,,
"FIN","Finland","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",12.141481,,
"FIN","Finland","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",13.307406,,
"FIN","Finland","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",43.719231,,
"FIN","Finland","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",45.231823,,
"FIN","Finland","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",29.746128,,
"FIN","Finland","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",31.374777,,
"FRA","France","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2009","2009",71740,,
"FRA","France","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",85846,,
"FRA","France","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2009","2009",24898,,
"FRA","France","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",33138,,
"FRA","France","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",233306,,
"FRA","France","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",243130,,
"FRA","France","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",104059.54,,
"FRA","France","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",109554.8,,
"FRA","France","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",2.0167003,,
"FRA","France","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",2.145896,,
"FRA","France","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2009","2009",18.9,,
"FRA","France","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",20.4,,
"FRA","France","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2009","2009",50.400002,,
"FRA","France","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",68,,
"FRA","France","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",115687,,
"FRA","France","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",113300,,
"FRA","France","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2009","2009",6.1720381,,
"FRA","France","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",5.0390077,,
"FRA","France","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",11.642276,,
"FRA","France","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",12.110005,,
"FRA","France","PIH","Share of indebted households","TP","Total Population","2009","2009",46.824951,,
"FRA","France","PIH","Share of indebted households","TP","Total Population","2014","2014",46.901859,,
"FRA","France","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2009","2009",5.8035688,,
"FRA","France","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",8.5086136,,
"FRA","France","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2009","2009",39.239998,"D","Difference in methodology"
"FRA","France","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",40.48,"D","Difference in methodology"
"FRA","France","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2009","2009",52.84,"D","Difference in methodology"
"FRA","France","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",53.119999,"D","Difference in methodology"
"FRA","France","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2009","2009",16.07,"D","Difference in methodology"
"FRA","France","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",11.89,"D","Difference in methodology"
"FRA","France","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2009","2009",21.24,"D","Difference in methodology"
"FRA","France","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",17.33,"D","Difference in methodology"
"FRA","France","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",17.934885,,
"FRA","France","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",18.645706,,
"FRA","France","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",49.971592,,
"FRA","France","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",50.586899,,
"FRA","France","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",36.537834,,
"FRA","France","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",37.260921,,
"GBR","United Kingdom","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2009","2009",135900,,
"GBR","United Kingdom","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2011","2011",154700,,
"GBR","United Kingdom","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2013","2013",198800,,
"GBR","United Kingdom","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2015","2015",215600,,
"GBR","United Kingdom","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2009","2009",43500,,
"GBR","United Kingdom","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2011","2011",46100,,
"GBR","United Kingdom","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2013","2013",45200,,
"GBR","United Kingdom","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2015","2015",47600,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",309700,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",340600,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",392400,,
"GBR","United Kingdom","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2015","2015",435500,,
"GBR","United Kingdom","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2009","2009",19.9,,
"GBR","United Kingdom","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2011","2011",19.799999,,
"GBR","United Kingdom","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2013","2013",20.5,,
"GBR","United Kingdom","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2015","2015",19.299999,,
"GBR","United Kingdom","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2011","2011",89.900002,,
"GBR","United Kingdom","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2013","2013",89.5,,
"GBR","United Kingdom","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2015","2015",81.800003,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",164000,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",170500,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",168900,,
"GBR","United Kingdom","T1C7","Median net wealth per household (current prices)","TP","Total Population","2015","2015",183000,,
"GBR","United Kingdom","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",15.1931066513062,,
"GBR","United Kingdom","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",14.2573938369751,,
"GBR","United Kingdom","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",12.1671094894409,,
"GBR","United Kingdom","SB60","Share of bottom 60% of wealth","TP","Total Population","2015","2015",11.8074712753296,,
"GBR","United Kingdom","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2013","2013",42.459999,,
"GBR","United Kingdom","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2015","2015",41.93,,
"GBR","United Kingdom","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2013","2013",52.529999,,
"GBR","United Kingdom","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2015","2015",52.59,,
"GBR","United Kingdom","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2013","2013",5.79,,
"GBR","United Kingdom","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2015","2015",5.5999999,,
"GBR","United Kingdom","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2013","2013",9.6899996,,
"GBR","United Kingdom","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2015","2015",9.1899996,,
"GBR","United Kingdom","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",15.9252548217773,,
"GBR","United Kingdom","ST1","Share of top 1% of wealth","TP","Total Population","2011","2011",16.6897926330566,,
"GBR","United Kingdom","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",20.0254821777344,,
"GBR","United Kingdom","ST1","Share of top 1% of wealth","TP","Total Population","2015","2015",19.9214038848877,,
"GBR","United Kingdom","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",47.2583122253418,,
"GBR","United Kingdom","ST10","Share of top 10% of wealth","TP","Total Population","2011","2011",48.2525901794434,,
"GBR","United Kingdom","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",51.9994735717773,,
"GBR","United Kingdom","ST10","Share of top 10% of wealth","TP","Total Population","2015","2015",51.9886474609375,,
"GBR","United Kingdom","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",33.9406929016113,,
"GBR","United Kingdom","ST5","Share of top 5% of wealth","TP","Total Population","2011","2011",34.723087310791,,
"GBR","United Kingdom","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",38.2443580627441,,
"GBR","United Kingdom","ST5","Share of top 5% of wealth","TP","Total Population","2015","2015",38.0352401733398,,
"GRC","Greece","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2009","2009",18701,,
"GRC","Greece","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",14760,,
"GRC","Greece","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2009","2009",11948,,
"GRC","Greece","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",7556,,
"GRC","Greece","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2009","2009",147757,,
"GRC","Greece","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",104199,,
"GRC","Greece","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2009","2009",55972,,
"GRC","Greece","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",41414.074,,
"GRC","Greece","M2MR","Mean to median net wealth ratio","TP","Total Population","2009","2009",1.449536,,
"GRC","Greece","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.6016324,,
"GRC","Greece","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2009","2009",14.8,,
"GRC","Greece","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",17.4,,
"GRC","Greece","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2009","2009",47.200001,,
"GRC","Greece","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",53.299999,,
"GRC","Greece","T1C7","Median net wealth per household (current prices)","TP","Total Population","2009","2009",101934,,
"GRC","Greece","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",65058,,
"GRC","Greece","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2009","2009",4.2468796,,
"GRC","Greece","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",4.5973454,,
"GRC","Greece","SB60","Share of bottom 60% of wealth","TP","Total Population","2009","2009",20.207804,,
"GRC","Greece","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",17.925282,,
"GRC","Greece","PIH","Share of indebted households","TP","Total Population","2009","2009",36.61816,,
"GRC","Greece","PIH","Share of indebted households","TP","Total Population","2014","2014",27.087418,,
"GRC","Greece","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2009","2009",4.4731231,,
"GRC","Greece","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",4.747366,,
"GRC","Greece","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2009","2009",58.84,"D","Difference in methodology"
"GRC","Greece","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",66.989998,"D","Difference in methodology"
"GRC","Greece","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2009","2009",71.470001,"D","Difference in methodology"
"GRC","Greece","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",77.310005,"D","Difference in methodology"
"GRC","Greece","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2009","2009",8.9799995,"D","Difference in methodology"
"GRC","Greece","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",12.88,"D","Difference in methodology"
"GRC","Greece","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2009","2009",12.08,"D","Difference in methodology"
"GRC","Greece","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",17.190001,"D","Difference in methodology"
"GRC","Greece","ST1","Share of top 1% of wealth","TP","Total Population","2009","2009",8.2319765,,
"GRC","Greece","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",9.1551847,,
"GRC","Greece","ST10","Share of top 10% of wealth","TP","Total Population","2009","2009",38.784035,,
"GRC","Greece","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",42.423824,,
"GRC","Greece","ST5","Share of top 5% of wealth","TP","Total Population","2009","2009",25.447557,,
"GRC","Greece","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",28.775896,,
"HUN","Hungary","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",4502902,,
"HUN","Hungary","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",1428428.8,,
"HUN","Hungary","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",15553559,,
"HUN","Hungary","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",6620761,,
"HUN","Hungary","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.9397281,,
"HUN","Hungary","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",20.200001,,
"HUN","Hungary","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",60.299999,,
"HUN","Hungary","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",8018422,,
"HUN","Hungary","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",6.2669725,,
"HUN","Hungary","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",15.445245,,
"HUN","Hungary","PIH","Share of indebted households","TP","Total Population","2014","2014",36.806664,,
"HUN","Hungary","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",4.3854513,,
"HUN","Hungary","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",42.98,"D","Difference in methodology"
"HUN","Hungary","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",49.66,"D","Difference in methodology"
"HUN","Hungary","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",9.7600002,"D","Difference in methodology"
"HUN","Hungary","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2014","2014",11.69,"D","Difference in methodology"
"HUN","Hungary","ST1","Share of top 1% of wealth","TP","Total Population","2014","2014",17.226322,,
"HUN","Hungary","ST10","Share of top 10% of wealth","TP","Total Population","2014","2014",48.477074,,
"HUN","Hungary","ST5","Share of top 5% of wealth","TP","Total Population","2014","2014",35.642178,,
"IRL","Ireland","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2013","2013",51293,,
"IRL","Ireland","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2013","2013",70934,,
"IRL","Ireland","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2013","2013",216349,,
"IRL","Ireland","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2013","2013",79596.008,,
"IRL","Ireland","M2MR","Mean to median net wealth ratio","TP","Total Population","2013","2013",2.1505864,,
"IRL","Ireland","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2013","2013",38.5,,
"IRL","Ireland","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2013","2013",102.10001,,
"IRL","Ireland","T1C7","Median net wealth per household (current prices)","TP","Total Population","2013","2013",100600,,
"IRL","Ireland","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2013","2013",17.991531,,
"IRL","Ireland","SB60","Share of bottom 60% of wealth","TP","Total Population","2013","2013",7.1840534,,
"IRL","Ireland","PIH","Share of indebted households","TP","Total Population","2013","2013",56.640392,,
"IRL","Ireland","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2013","2013",13.101624,,
"IRL","Ireland","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2013","2013",58.240002,"D","Difference in methodology"
"IRL","Ireland","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2013","2013",68.699997,"D","Difference in methodology"
"IRL","Ireland","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2013","2013",26.870001,"D","Difference in methodology"
"IRL","Ireland","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2013","2013",30.17,"D","Difference in methodology"
"IRL","Ireland","ST1","Share of top 1% of wealth","TP","Total Population","2013","2013",14.179169,,
"IRL","Ireland","ST10","Share of top 10% of wealth","TP","Total Population","2013","2013",53.7924,,
"IRL","Ireland","ST5","Share of top 5% of wealth","TP","Total Population","2013","2013",37.657055,,
"ITA","Italy","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2011","2011",51942,,
"ITA","Italy","T3AC2","Mean financial assets per household (current prices)","TP","Total Population","2014","2014",43238,,
"ITA","Italy","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2011","2011",11784,,
"ITA","Italy","T3AC3","Mean liabilities per household (current prices)","TP","Total Population","2014","2014",9916,,
"ITA","Italy","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2011","2011",274657,,
"ITA","Italy","T1C5","Mean net wealth per household (current prices)","TP","Total Population","2014","2014",226389,,
"ITA","Italy","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2011","2011",108469.18,,
"ITA","Italy","MNWI","Mean net wealth per person (current prices)","TP","Total Population","2014","2014",91974.867,,
"ITA","Italy","M2MR","Mean to median net wealth ratio","TP","Total Population","2011","2011",1.5840691,,
"ITA","Italy","M2MR","Mean to median net wealth ratio","TP","Total Population","2014","2014",1.5485096,,
"ITA","Italy","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2011","2011",11.7,,
"ITA","Italy","T4C5","Median debt-to-assets ratio of indebted households","TP","Total Population","2014","2014",18.4,,
"ITA","Italy","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2011","2011",50.300003,,
"ITA","Italy","T4C4","Median debt-to-income ratio of indebted households","TP","Total Population","2014","2014",69.599998,,
"ITA","Italy","T1C7","Median net wealth per household (current prices)","TP","Total Population","2011","2011",173387,,
"ITA","Italy","T1C7","Median net wealth per household (current prices)","TP","Total Population","2014","2014",146198,,
"ITA","Italy","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2011","2011",2.4604959,,
"ITA","Italy","PIH75","Share of indebted households with debt-to-assets ratio above 75%","TP","Total Population","2014","2014",2.6872752,,
"ITA","Italy","SB60","Share of bottom 60% of wealth","TP","Total Population","2011","2011",17.461637,,
"ITA","Italy","SB60","Share of bottom 60% of wealth","TP","Total Population","2014","2014",17.315496,,
"ITA","Italy","PIH","Share of indebted households","TP","Total Population","2011","2011",25.195721,,
"ITA","Italy","PIH","Share of indebted households","TP","Total Population","2014","2014",21.230368,,
"ITA","Italy","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2011","2011",2.781934,,
"ITA","Italy","PIHR3","Share of indebted households with debt-to-income ratio above 3","TP","Total Population","2014","2014",3.3100307,,
"ITA","Italy","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2011","2011",36.040001,,
"ITA","Italy","T6C2","Share of individuals with eq. liquid financial wealth <25% of income poverty line","TP","Total Population","2014","2014",38.68,,
"ITA","Italy","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2011","2011",49.290001,,
"ITA","Italy","T6C3","Share of individuals with eq. liquid financial wealth <50 % of  income poverty line","TP","Total Population","2014","2014",52.289997,,
"ITA","Italy","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2011","2011",7.4400001,,
"ITA","Italy","T6C6","Share of individuals with eq. net wealth < 25% of income poverty line","TP","Total Population","2014","2014",10.08,,
"ITA","Italy","T6C7","Share of individuals with eq. net wealth <50 % of  income poverty line","TP","Total Population","2011","2011",10.5,,
